fecha,iee_global,comercio,construccion,manufactura,servicios
2024-01-07,57.5,54.3,57.0,53.6,61.0
2024-01-08,58.8,57.6,50.0,52.2,64.1
2024-01-09,50.0,47.9,49.8,48.0,49.5
2024-01-10,56.3,56.9,54.7,50.5,58.8
2024-01-11,54.7,60.0,45.1,50.1,55.8
2024-01-12,55.1,60.2,43.3,50.2,56.9
2025-01-01,49.6,44.8,45.5,50.6,52.5
2025-01-02,49.7,46.5,55.1,52.9,49.0
2025-01-03,59.9,62.0,43.7,57.1,63.1
2025-01-04,55.2,53.8,61.7,55.9,54.4
2025-01-05,56.4,55.1,62.3,53.3,57.3
2025-01-06,48.5,48.4,51.9,45.3,49.3
2025-01-07,56.2,55.4,47.7,55.0,58.7
2025-01-08,54.7,57.0,57.7,51.1,54.5
2025-01-09,55.0,52.5,57.4,52.8,56.8
2025-01-10,57.0,60.2,63.7,55.2,54.8
2025-01-11,55.7,60.1,54.6,46.3,57.9
2025-01-12,55.7,48.9,64.7,53.2,58.7
