ano,codigo_provincia,provincia,codigo_canton,canton,sector,valor
2023,2.0,BOLIVAR,205.0,San Miguel,Suministro de electricidad y de agua,562090.0
2023,2.0,BOLIVAR,205.0,San Miguel,Construcción,2438450.0
2023,2.0,BOLIVAR,205.0,San Miguel,Comercio,3321250.0
2023,2.0,BOLIVAR,205.0,San Miguel,"Transporte, información y comunicaciones",522720.0
2023,2.0,BOLIVAR,205.0,San Miguel,Alojamiento y servicios de comida,114270.0
2023,2.0,BOLIVAR,205.0,San Miguel,Actividades financieras,4960980.0
2023,2.0,BOLIVAR,205.0,San Miguel,Actividades profesionales e inmobiliarias,2127750.0
2023,2.0,BOLIVAR,205.0,San Miguel,Administración pública,4778890.0
2023,2.0,BOLIVAR,205.0,San Miguel,Enseñanza,5278440.0
2023,2.0,BOLIVAR,205.0,San Miguel,Salud,2040540.0
2023,2.0,BOLIVAR,205.0,San Miguel,Otros servicios,429600.0
2023,2.0,BOLIVAR,205.0,San Miguel,ECONOMÍA TOTAL,65155770.0
2023,2.0,BOLIVAR,206.0,Caluma,"Agricultura, ganadería, silvicultura y pesca",10948420.0
2023,2.0,BOLIVAR,206.0,Caluma,Explotación de minas y canteras,0.0
2023,2.0,BOLIVAR,206.0,Caluma,Manufactura,511140.0
2023,2.0,BOLIVAR,206.0,Caluma,Suministro de electricidad y de agua,375010.0
2023,2.0,BOLIVAR,206.0,Caluma,Construcción,5739440.0
2023,2.0,BOLIVAR,206.0,Caluma,Comercio,8184120.0
2023,2.0,BOLIVAR,206.0,Caluma,"Transporte, información y comunicaciones",3280620.0
2023,2.0,BOLIVAR,206.0,Caluma,Alojamiento y servicios de comida,140730.0
2023,2.0,BOLIVAR,206.0,Caluma,Actividades financieras,1267240.0
2023,2.0,BOLIVAR,206.0,Caluma,Actividades profesionales e inmobiliarias,1598710.0
2023,2.0,BOLIVAR,206.0,Caluma,Administración pública,2684010.0
2023,2.0,BOLIVAR,206.0,Caluma,Enseñanza,4116750.0
2023,2.0,BOLIVAR,206.0,Caluma,Salud,471110.0
2023,2.0,BOLIVAR,206.0,Caluma,Otros servicios,1086550.0
2023,2.0,BOLIVAR,206.0,Caluma,ECONOMÍA TOTAL,40403850.0
2023,2.0,BOLIVAR,207.0,Las Naves,"Agricultura, ganadería, silvicultura y pesca",45510750.0
2023,2.0,BOLIVAR,207.0,Las Naves,Explotación de minas y canteras,866270.0
2023,2.0,BOLIVAR,207.0,Las Naves,Manufactura,38940.0
2023,2.0,BOLIVAR,207.0,Las Naves,Suministro de electricidad y de agua,185470.0
2023,2.0,BOLIVAR,207.0,Las Naves,Construcción,905040.0
2023,2.0,BOLIVAR,207.0,Las Naves,Comercio,2124230.0
2023,2.0,BOLIVAR,207.0,Las Naves,"Transporte, información y comunicaciones",178110.0
2023,2.0,BOLIVAR,207.0,Las Naves,Alojamiento y servicios de comida,37720.0
2023,2.0,BOLIVAR,207.0,Las Naves,Actividades financieras,337800.0
2023,2.0,BOLIVAR,207.0,Las Naves,Actividades profesionales e inmobiliarias,547690.0
2023,2.0,BOLIVAR,207.0,Las Naves,Administración pública,1637140.0
2023,2.0,BOLIVAR,207.0,Las Naves,Enseñanza,1488260.0
2023,2.0,BOLIVAR,207.0,Las Naves,Salud,4090.0
2023,2.0,BOLIVAR,207.0,Las Naves,Otros servicios,107790.0
2023,2.0,BOLIVAR,207.0,Las Naves,ECONOMÍA TOTAL,53969300.0
2023,3.0,CANAR,301.0,Azogues,"Agricultura, ganadería, silvicultura y pesca",2043110.0
2023,3.0,CANAR,301.0,Azogues,Explotación de minas y canteras,637340.0
2023,3.0,CANAR,301.0,Azogues,Manufactura,20817610.0
2023,3.0,CANAR,301.0,Azogues,Suministro de electricidad y de agua,4933730.0
2023,3.0,CANAR,301.0,Azogues,Construcción,20758510.0
2023,3.0,CANAR,301.0,Azogues,Comercio,37226810.0
2023,3.0,CANAR,301.0,Azogues,"Transporte, información y comunicaciones",32736420.0
2023,3.0,CANAR,301.0,Azogues,Alojamiento y servicios de comida,1076490.0
2023,3.0,CANAR,301.0,Azogues,Actividades financieras,33001160.000000004
2023,3.0,CANAR,301.0,Azogues,Actividades profesionales e inmobiliarias,24049510.0
2023,3.0,CANAR,301.0,Azogues,Administración pública,22240930.0
2023,3.0,CANAR,301.0,Azogues,Enseñanza,57474070.0
2023,3.0,CANAR,301.0,Azogues,Salud,20796420.0
2023,3.0,CANAR,301.0,Azogues,Otros servicios,6055470.0
2023,3.0,CANAR,301.0,Azogues,ECONOMÍA TOTAL,283847580.0
2023,3.0,CANAR,302.0,Biblián,"Agricultura, ganadería, silvicultura y pesca",512679.99999999994
2023,3.0,CANAR,302.0,Biblián,Explotación de minas y canteras,90050.0
2023,3.0,CANAR,302.0,Biblián,Manufactura,560780.0
2023,3.0,CANAR,302.0,Biblián,Suministro de electricidad y de agua,524080.00000000006
2023,3.0,CANAR,302.0,Biblián,Construcción,2907540.0
